Datetime,Latitude,Longitude,Height,Q,ns,Next_Lat,Next_Lon,Time_Diff,Distance,Speed,Acceleration,Turn_Rate,Road_Type
2023-11-29 04:56:55,12.773328391,77.35595016,672.1514,5,32,12.773207433,77.355769829,1.0,23.73444949272444,23.73444949272444,0.01952191509559853,1.5328534752115814,Main Road
2023-11-29 04:56:56,12.773207433,77.355769829,674.0272,5,32,12.773091631,77.355590153,1.0,23.355039366050853,23.355039366050853,-0.3794101266735872,0.8052711238452588,Main Road
2023-11-29 04:56:57,12.773091631,77.355590153,673.1588,5,32,12.772972149,77.35540299,1.0,24.25825099111629,24.25825099111629,0.9032116250654383,1.0499837551275988,Main Road
2023-11-29 04:56:58,12.772972149,77.35540299,673.8696,5,32,12.772852459,77.355229513,1.0,23.044184236039477,23.044184236039477,-1.2140667550768143,0.24842552342185797,Main Road
2023-11-29 04:56:59,12.772852459,77.355229513,674.8064,5,32,12.772731461,77.355046693,1.0,23.959858584378406,23.959858584378406,0.9156743483389285,2.0500936187559518,Main Road
2023-11-29 04:57:00,12.772731461,77.355046693,674.8346,5,32,12.77261753,77.354872411,1.0,22.752846331290908,22.752846331290908,-1.2070122530874983,1.1053583026847633,Main Road
2023-11-29 04:57:01,12.77261753,77.354872411,676.0001,5,32,12.772502852,77.354688684,1.0,23.6552096920862,23.6552096920862,0.9023633607952917,0.3249712719666462,Main Road
2023-11-29 04:57:02,12.772502852,77.354688684,677.2764,5,32,12.772383814,77.354510932,1.0,23.38309008490042,23.38309008490042,-0.272119607185779,1.2018788473647248,Main Road
2023-11-29 04:57:03,12.772383814,77.354510932,677.4095,5,32,12.772280643,77.354325255,1.0,23.17425558824431,23.17425558824431,-0.20883449665610954,1.8382365056569654,Main Road
2023-11-29 04:57:04,12.772280643,77.354325255,678.3677,5,32,12.772170239,77.3541367,1.0,23.84979464946393,23.84979464946393,0.6755390612196202,4.751021996783166,Main Road
2023-11-29 04:57:05,12.772170239,77.3541367,677.3231,5,32,12.77206652,77.35395066,1.0,23.238662594716814,23.238662594716814,-0.6111320547471166,1.2914765056501807,Main Road
2023-11-29 04:57:06,12.77206652,77.35395066,678.2788,5,32,12.771967088,77.353760277,1.0,23.419926211284867,23.419926211284867,0.181263616568053,1.210049131793781,Main Road
2023-11-29 04:57:07,12.771967088,77.353760277,677.4945,5,32,12.771860301,77.353573428,1.0,23.485505963155234,23.485505963155234,0.06557975187036647,1.563192748826438,Main Road
2023-11-29 04:57:08,12.771860301,77.353573428,680.7546,5,32,12.771761766,77.353377405,1.0,23.914996498752085,23.914996498752085,0.4294905355968517,2.171739390732739,Main Road
2023-11-29 04:57:09,12.771761766,77.353377405,680.4009,5,32,12.7716698,77.353182029,1.0,23.52608392241374,23.52608392241374,-0.3889125763383454,3.0612808756208096,Main Road
2023-11-29 04:57:10,12.7716698,77.353182029,680.3994,5,32,12.771574325,77.352976641,1.0,24.673792144528594,24.673792144528594,1.1477082221148542,1.4803616134508673,Main Road
2023-11-29 04:57:11,12.771574325,77.352976641,681.9563,5,32,12.771488861,77.352770706,1.0,24.270266703481223,24.270266703481223,-0.4035254410473712,0.27552039479688517,Main Road
2023-11-29 04:57:12,12.771488861,77.352770706,677.2394,5,32,12.771397582,77.352568655,1.0,24.147846867415847,24.147846867415847,-0.12241983606537588,2.392768420237445,Main Road
2023-11-29 04:57:13,12.771397582,77.352568655,680.4061,5,32,12.771310444,77.352371021,1.0,23.520680616510084,23.520680616510084,-0.6271662509057627,1.7729713924045427,Main Road
2023-11-29 04:57:14,12.771310444,77.352371021,683.8266,5,32,12.771217504,77.35217463,1.0,23.672375268091145,23.672375268091145,0.1516946515810602,0.5186866007602191,Main Road
2023-11-29 04:57:15,12.771217504,77.35217463,688.6913,5,32,12.771141087,77.351950687,1.0,25.728915746080382,25.728915746080382,2.0565404779892376,1.5324005890932426,Main Road
2023-11-29 04:57:16,12.771141087,77.351950687,684.6254,5,32,12.771064416,77.351724146,1.0,26.004264668638754,26.004264668638754,0.27534892255837207,6.48397294219852,Main Road
